id,recording_id,user_id,stage_type,substep,attempt,started_at,completed_at,duration_seconds,status,error_message,meta,created_at
1,161,01KGSQMKNX50CEFJFJ39ZBVEK8,DOWNLOAD,,1,2026-02-12 13:37:14.700888+03,2026-02-12 13:37:36.228209+03,21.527321,COMPLETED,,{"file_size": 253026287},2026-02-12 13:37:14.701637+03
3,161,01KGSQMKNX50CEFJFJ39ZBVEK8,TRIM,extract_audio,1,2026-02-12 13:46:31.451925+03,2026-02-12 13:46:38.075909+03,6.623984,COMPLETED,,,2026-02-12 13:46:31.45694+03
4,161,01KGSQMKNX50CEFJFJ39ZBVEK8,TRIM,analyze_silence,1,2026-02-12 13:46:38.091472+03,2026-02-12 13:46:39.606551+03,1.515079,COMPLETED,,,2026-02-12 13:46:38.096993+03
5,161,01KGSQMKNX50CEFJFJ39ZBVEK8,TRIM,trim_video,1,2026-02-12 13:46:39.61674+03,2026-02-12 13:46:40.359654+03,0.742914,COMPLETED,,,2026-02-12 13:46:39.621805+03
6,161,01KGSQMKNX50CEFJFJ39ZBVEK8,TRIM,trim_audio,1,2026-02-12 13:46:40.372368+03,2026-02-12 13:46:40.621136+03,0.248768,COMPLETED,,,2026-02-12 13:46:40.376778+03
2,161,01KGSQMKNX50CEFJFJ39ZBVEK8,TRIM,,1,2026-02-12 13:46:31.440666+03,2026-02-12 13:46:40.636732+03,9.196066,COMPLETED,,null,2026-02-12 13:46:31.443739+03
7,161,01KGSQMKNX50CEFJFJ39ZBVEK8,TRANSCRIBE,,1,2026-02-12 13:46:40.72904+03,2026-02-12 13:46:56.094+03,15.36496,COMPLETED,,{"model": "fireworks", "words": 4996, "language": "ru"},2026-02-12 13:46:40.73197+03
9,161,01KGSQMKNX50CEFJFJ39ZBVEK8,GENERATE_SUBTITLES,,1,2026-02-12 13:46:56.20638+03,2026-02-12 13:46:56.227575+03,0.021195,COMPLETED,,{"formats": ["srt", "vtt"]},2026-02-12 13:46:56.20954+03
8,161,01KGSQMKNX50CEFJFJ39ZBVEK8,EXTRACT_TOPICS,,1,2026-02-12 13:46:56.189297+03,2026-02-12 13:47:09.981054+03,13.791757,COMPLETED,,{"model": "deepseek", "granularity": "long"},2026-02-12 13:46:56.192692+03
10,161,01KGSQMKNX50CEFJFJ39ZBVEK8,UPLOAD:VK,,1,2026-02-12 13:47:10.233921+03,2026-02-12 13:47:29.350848+03,19.116927,COMPLETED,,{"platform": "vk"},2026-02-12 13:47:10.234422+03
11,161,01KGSQMKNX50CEFJFJ39ZBVEK8,EXTRACT_TOPICS,,1,2026-02-12 14:01:52.437692+03,2026-02-12 14:02:05.44244+03,13.004748,COMPLETED,,{"model": "deepseek", "granularity": "long"},2026-02-12 14:01:52.441043+03
